Laser Power (dBm),Q (dB),Length of Segment 1 (km),Span (km),Compensation (%), fiberAeff_1, fiberAeff_2, fiberAlphadB_1, fiberAlphadB_2
-1,1.8352,0.0,10,0,250,112,0.16,0.158
-2,2.9553,0.0,10,0,250,112,0.16,0.158
-3,4.6411,0.0,10,0,250,112,0.16,0.158
-4,5.4519,0.0,10,0,250,112,0.16,0.158
-5,6.2083,0.0,10,0,250,112,0.16,0.158
-6,6.3825,0.0,10,0,250,112,0.16,0.158
-7,6.1533,0.0,10,0,250,112,0.16,0.158
-8,5.5555,0.0,10,0,250,112,0.16,0.158
-9,4.8209,0.0,10,0,250,112,0.16,0.158
0,0.52065,0.0,10,0,250,112,0.16,0.158
1,-2.3361,0.0,10,0,250,112,0.16,0.158
2,-4.4091,0.0,10,0,250,112,0.16,0.158
-1,2.1476,1.0,10,0,250,112,0.16,0.158
-2,4.3699,1.0,10,0,250,112,0.16,0.158
-3,5.1653,1.0,10,0,250,112,0.16,0.158
-4,5.7639,1.0,10,0,250,112,0.16,0.158
-5,6.4789,1.0,10,0,250,112,0.16,0.158
-6,6.4461,1.0,10,0,250,112,0.16,0.158
-7,6.1112,1.0,10,0,250,112,0.16,0.158
-8,5.5923,1.0,10,0,250,112,0.16,0.158
-9,4.8502,1.0,10,0,250,112,0.16,0.158
0,0.31632,1.0,10,0,250,112,0.16,0.158
1,-2.5114,1.0,10,0,250,112,0.16,0.158
2,-4.0578,1.0,10,0,250,112,0.16,0.158
-1,2.568,2.0,10,0,250,112,0.16,0.158
-2,4.8755,2.0,10,0,250,112,0.16,0.158
-3,4.407,2.0,10,0,250,112,0.16,0.158
-4,6.4343,2.0,10,0,250,112,0.16,0.158
-5,6.559,2.0,10,0,250,112,0.16,0.158
-6,6.6013,2.0,10,0,250,112,0.16,0.158
-7,6.1807,2.0,10,0,250,112,0.16,0.158
-8,5.5951,2.0,10,0,250,112,0.16,0.158
-9,4.8874,2.0,10,0,250,112,0.16,0.158
0,0.87279,2.0,10,0,250,112,0.16,0.158
1,-1.5232,2.0,10,0,250,112,0.16,0.158
2,-2.3355,2.0,10,0,250,112,0.16,0.158
-1,3.123,3.0,10,0,250,112,0.16,0.158
-2,4.847,3.0,10,0,250,112,0.16,0.158
-3,6.0446,3.0,10,0,250,112,0.16,0.158
-4,6.4321,3.0,10,0,250,112,0.16,0.158
-5,6.573,3.0,10,0,250,112,0.16,0.158
-6,6.438,3.0,10,0,250,112,0.16,0.158
-7,6.0363,3.0,10,0,250,112,0.16,0.158
-8,5.4323,3.0,10,0,250,112,0.16,0.158
-9,4.8025,3.0,10,0,250,112,0.16,0.158
0,1.6808,3.0,10,0,250,112,0.16,0.158
1,-0.7821600000000001,3.0,10,0,250,112,0.16,0.158
2,-3.0472,3.0,10,0,250,112,0.16,0.158
-1,4.0717,4.0,10,0,250,112,0.16,0.158
-2,5.0279,4.0,10,0,250,112,0.16,0.158
-3,5.7954,4.0,10,0,250,112,0.16,0.158
-4,6.584,4.0,10,0,250,112,0.16,0.158
-5,6.6823,4.0,10,0,250,112,0.16,0.158
-6,6.4797,4.0,10,0,250,112,0.16,0.158
-7,6.0223,4.0,10,0,250,112,0.16,0.158
-8,5.4371,4.0,10,0,250,112,0.16,0.158
-9,4.7523,4.0,10,0,250,112,0.16,0.158
0,2.3168,4.0,10,0,250,112,0.16,0.158
1,0.19125,4.0,10,0,250,112,0.16,0.158
2,-1.9133,4.0,10,0,250,112,0.16,0.158
-1,4.4445,5.0,10,0,250,112,0.16,0.158
-2,5.3266,5.0,10,0,250,112,0.16,0.158
-3,6.2873,5.0,10,0,250,112,0.16,0.158
-4,6.6547,5.0,10,0,250,112,0.16,0.158
-5,6.7243,5.0,10,0,250,112,0.16,0.158
-6,6.3104,5.0,10,0,250,112,0.16,0.158
-7,5.8256,5.0,10,0,250,112,0.16,0.158
-8,5.3594,5.0,10,0,250,112,0.16,0.158
-9,4.6579,5.0,10,0,250,112,0.16,0.158
0,2.6343,5.0,10,0,250,112,0.16,0.158
1,-0.019673,5.0,10,0,250,112,0.16,0.158
2,-1.4611,5.0,10,0,250,112,0.16,0.158
-1,5.1433,6.0,10,0,250,112,0.16,0.158
-2,5.3739,6.0,10,0,250,112,0.16,0.158
-3,6.4291,6.0,10,0,250,112,0.16,0.158
-4,6.7814,6.0,10,0,250,112,0.16,0.158
-5,6.6346,6.0,10,0,250,112,0.16,0.158
